rank,event,left,mid,right,depth,time
1,divide,0,0,1,10,0.000000
1,merge,0,0,1,10,0.000003
1,divide,0,1,2,9,0.000047
1,merge,0,1,2,9,0.000000
1,divide,3,3,4,10,0.000000
1,merge,3,3,4,10,0.000000
1,divide,3,4,5,9,0.000017
1,merge,3,4,5,9,0.000000
1,divide,0,2,5,8,0.000092
1,merge,0,2,5,8,0.000001
1,divide,6,6,7,10,0.000000
1,merge,6,6,7,10,0.000000
1,divide,6,7,8,9,0.000014
1,merge,6,7,8,9,0.000000
1,divide,9,9,10,10,0.000000
1,merge,9,9,10,10,0.000000
1,divide,9,10,11,9,0.000012
1,merge,9,10,11,9,0.000000
1,divide,6,8,11,8,0.000059
1,merge,6,8,11,8,0.000000
1,divide,0,5,11,7,0.000178
1,merge,0,5,11,7,0.000001
1,divide,12,12,13,10,0.000000
1,merge,12,12,13,10,0.000000
1,divide,12,13,14,9,0.000015
1,merge,12,13,14,9,0.000000
1,divide,15,15,16,10,0.000000
1,merge,15,15,16,10,0.000000
1,divide,15,16,17,9,0.000014
1,merge,15,16,17,9,0.000000
1,divide,12,14,17,8,0.000057
1,merge,12,14,17,8,0.000000
1,divide,18,18,19,10,0.000000
1,merge,18,18,19,10,0.000000
1,divide,18,19,20,9,0.002031
1,merge,18,19,20,9,0.000001
1,divide,21,21,22,10,0.000000
1,merge,21,21,22,10,0.000000
1,divide,21,22,23,9,0.000010
1,merge,21,22,23,9,0.000000
1,divide,18,20,23,8,0.002067
1,merge,18,20,23,8,0.000000
1,divide,12,17,23,7,0.002150
1,merge,12,17,23,7,0.000001
1,divide,0,11,23,6,0.002352
1,merge,0,11,23,6,0.000002
1,divide,24,24,25,10,0.000000
1,merge,24,24,25,10,0.000000
1,divide,24,25,26,9,0.000009
1,merge,24,25,26,9,0.000000
1,divide,27,27,28,10,0.000000
1,merge,27,27,28,10,0.000000
1,divide,27,28,29,9,0.000008
1,merge,27,28,29,9,0.000000
1,divide,24,26,29,8,0.000036
1,merge,24,26,29,8,0.000000
1,divide,30,30,31,10,0.000000
1,merge,30,30,31,10,0.000000
1,divide,30,31,32,9,0.000008
1,merge,30,31,32,9,0.000000
1,divide,33,33,34,10,0.000000
1,merge,33,33,34,10,0.000000
1,divide,33,34,35,9,0.000008
1,merge,33,34,35,9,0.000000
1,divide,30,32,35,8,0.000034
1,merge,30,32,35,8,0.000000
1,divide,24,29,35,7,0.000088
1,merge,24,29,35,7,0.000001
1,divide,36,36,37,10,0.000000
1,merge,36,36,37,10,0.000000
1,divide,36,37,38,9,0.000012
1,merge,36,37,38,9,0.000000
1,divide,39,39,40,10,0.000000
1,merge,39,39,40,10,0.000000
1,divide,39,40,41,9,0.000013
1,merge,39,40,41,9,0.000000
1,divide,36,38,41,8,0.000042
1,merge,36,38,41,8,0.000000
1,divide,42,42,43,10,0.000000
1,merge,42,42,43,10,0.000000
1,divide,42,43,44,9,0.000009
1,merge,42,43,44,9,0.000000
1,divide,45,45,46,9,0.000000
1,merge,45,45,46,9,0.000000
1,divide,42,44,46,8,0.000028
1,merge,42,44,46,8,0.000000
1,divide,36,41,46,7,0.000094
1,merge,36,41,46,7,0.000001
1,divide,24,35,46,6,0.000205
1,merge,24,35,46,6,0.000002
1,divide,0,23,46,5,0.002580
1,merge,0,23,46,5,0.000002
1,divide,47,47,48,10,0.000000
1,merge,47,47,48,10,0.000000
1,divide,47,48,49,9,0.000011
1,merge,47,48,49,9,0.000000
1,divide,50,50,51,10,0.000000
1,merge,50,50,51,10,0.000000
1,divide,50,51,52,9,0.000009
1,merge,50,51,52,9,0.000000
1,divide,47,49,52,8,0.000040
1,merge,47,49,52,8,0.000000
1,divide,53,53,54,10,0.000000
1,merge,53,53,54,10,0.000000
1,divide,53,54,55,9,0.000013
1,merge,53,54,55,9,0.000000
1,divide,56,56,57,10,0.000000
1,merge,56,56,57,10,0.000000
1,divide,56,57,58,9,0.000015
1,merge,56,57,58,9,0.000000
1,divide,53,55,58,8,0.000054
1,merge,53,55,58,8,0.000000
1,divide,47,52,58,7,0.000133
1,merge,47,52,58,7,0.000001
1,divide,59,59,60,10,0.000000
1,merge,59,59,60,10,0.000000
1,divide,59,60,61,9,0.000015
1,merge,59,60,61,9,0.000000
1,divide,62,62,63,10,0.000000
1,merge,62,62,63,10,0.000000
1,divide,62,63,64,9,0.000016
1,merge,62,63,64,9,0.000000
1,divide,59,61,64,8,0.000058
1,merge,59,61,64,8,0.000000
1,divide,65,65,66,10,0.000000
1,merge,65,65,66,10,0.000000
1,divide,65,66,67,9,0.000013
1,merge,65,66,67,9,0.000000
1,divide,68,68,69,10,0.000000
1,merge,68,68,69,10,0.000000
1,divide,68,69,70,9,0.000011
1,merge,68,69,70,9,0.000000
1,divide,65,67,70,8,0.000050
1,merge,65,67,70,8,0.000000
1,divide,59,64,70,7,0.000138
1,merge,59,64,70,7,0.000001
1,divide,47,58,70,6,0.000297
1,merge,47,58,70,6,0.000001
1,divide,71,71,72,10,0.000000
1,merge,71,71,72,10,0.000000
1,divide,71,72,73,9,0.000014
1,merge,71,72,73,9,0.000000
1,divide,74,74,75,10,0.000000
1,merge,74,74,75,10,0.000000
1,divide,74,75,76,9,0.000023
1,merge,74,75,76,9,0.000000
1,divide,71,73,76,8,0.000062
1,merge,71,73,76,8,0.000000
1,divide,77,77,78,10,0.000000
1,merge,77,77,78,10,0.000000
1,divide,77,78,79,9,0.000016
1,merge,77,78,79,9,0.000000
1,divide,80,80,81,10,0.000000
1,merge,80,80,81,10,0.000000
1,divide,80,81,82,9,0.000013
1,merge,80,81,82,9,0.000000
1,divide,77,79,82,8,0.000057
1,merge,77,79,82,8,0.000000
1,divide,71,76,82,7,0.000145
1,merge,71,76,82,7,0.000001
1,divide,83,83,84,10,0.000000
1,merge,83,83,84,10,0.000000
1,divide,83,84,85,9,0.000012
1,merge,83,84,85,9,0.000000
1,divide,86,86,87,10,0.000000
1,merge,86,86,87,10,0.000000
1,divide,86,87,88,9,0.000013
1,merge,86,87,88,9,0.000000
1,divide,83,85,88,8,0.000053
1,merge,83,85,88,8,0.000000
1,divide,89,89,90,10,0.000000
